source_kind,source_path,original_name,reason,sha256,kept_as,would_have_been
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/generators/adventure-simulation-generator.js,exact_duplicate_content,d8ef93ee8c7a57482ce8d4fec8a2f5c3286d839a7e2fff82caf593011b9419fa,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/generators/adventure-simulation-generator.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/generators/adventure-simulation-generator.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/generators/final-ai-dungeon-compat-generator.js,exact_duplicate_content,4913a2e83d8530b55c24d44af028abe1a13898ef2fcbe499d92c48aa1867d35f,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/generators/final-ai-dungeon-compat-generator.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/generators/final-ai-dungeon-compat-generator.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/data/items.json,exact_duplicate_content,b22bd65381847503e7f8178e39a266c930a1496bebd421f994a72656d4045310,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/data/items.json,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/data/items.json
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/manifests/chunk-22.json,exact_duplicate_content,41d691955d40819f169f0539c77574eaf17bebfcc830a3fd0c99b88b6fab3167,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/manifests/chunk-22.json,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/manifests/chunk-22.json
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/README_CHROMEBOOK.md,exact_duplicate_content,5f6315a28db60c1db5ae678f2cbc0dff85c3a77bda7a2b1132aa52aa0f242d97,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/README_CHROMEBOOK.md,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/README_CHROMEBOOK.md
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/runner.js.bak,exact_duplicate_content,0747adc467adedbc754f1ba817cb17127d1d8a863e21646e9d2537efac07b003,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/runner.js.bak,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/runner.js.bak
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/TESTER_V0_5_NOTES.md,exact_duplicate_content,e62201c6e55af875e0aaa4647c0a438d8789c8e32707267620a53dad5044ecf8,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/TESTER_V0_5_NOTES.md,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/TESTER_V0_5_NOTES.md
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/TESTER_V0_6_COVERAGE.md,exact_duplicate_content,4c72dec03e8f509bb13803c4d96c198b95669ce8ea801c152d5b267b4ca27c58,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/TESTER_V0_6_COVERAGE.md,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/TESTER_V0_6_COVERAGE.md
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/explore.js,exact_duplicate_content,d034f9a05f282a0f8de871441fee5d81dfb765404dfc08acd5b95396cb09e6d0,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/explore.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/explore.js
extracted_archive_member,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip,aidrpg-final-ai-dungeon-stress-tester-v1.3(1).zip!/explore_seed.js,exact_duplicate_content,f893d9d84ebd3093b36bc30815099e52014e54ca19f4d00d0974455df26c0ed5,Tests/Harness Regression and Reports/aidrpg-ai-dungeon-mimic-tester-v1.4.1-safe_2/aidrpg-final-ai-dungeon-stress-tester-v1.4/explore_seed.js,Tests/Harness Regression and Reports/aidrpg-final-ai-dungeon-stress-tester-v1.3_1/explore_seed.js
